month,Pop,PfPR U5,year,Run_Number,Habitat_Multiplier,admin_name
3,1006.133333333,0.0,2013,0,0.025118864315095794,BB
4,1002.3,0.0,2013,0,0.025118864315095794,BB
5,995.1666666667,0.0,2013,0,0.025118864315095794,BB
6,1000.166666667,0.0,2013,0,0.025118864315095794,BB
7,1007.033333333,0.0,2013,0,0.025118864315095794,BB
8,1007.2,0.0,2013,0,0.025118864315095794,BB
9,1003.5,0.0,2013,0,0.025118864315095794,BB
10,1004.333333333,0.0,2013,0,0.025118864315095794,BB
11,1004.333333333,0.0,2013,0,0.025118864315095794,BB
12,1007.833333333,0.0,2013,0,0.025118864315095794,BB
1,1011.666666667,0.0,2014,0,0.025118864315095794,BB
2,1020.433333333,0.0,2014,0,0.025118864315095794,BB
3,1011.8,0.0,2014,0,0.025118864315095794,BB
4,1004.5,0.0,2014,0,0.025118864315095794,BB
5,1007.633333333,0.0,2014,0,0.025118864315095794,BB
6,1009.666666667,0.0,2014,0,0.025118864315095794,BB
7,1012.733333333,0.0,2014,0,0.025118864315095794,BB
8,1008.133333333,0.0,2014,0,0.025118864315095794,BB
9,1013.3,0.0,2014,0,0.025118864315095794,BB
10,1014.933333333,0.0,2014,0,0.025118864315095794,BB
11,1012.533333333,0.0,2014,0,0.025118864315095794,BB
12,1001.4,0.0,2014,0,0.025118864315095794,BB
1,1004.5,0.0,2015,0,0.025118864315095794,BB
2,1008.4,0.0,2015,0,0.025118864315095794,BB
3,1008.966666667,0.0,2015,0,0.025118864315095794,BB
4,1006.533333333,0.0,2015,0,0.025118864315095794,BB
5,1005.733333333,0.0,2015,0,0.025118864315095794,BB
6,1013.866666667,0.0,2015,0,0.025118864315095794,BB
7,1009.733333333,0.0,2015,0,0.025118864315095794,BB
8,1008.1,0.0,2015,0,0.025118864315095794,BB
9,1012.433333333,0.0,2015,0,0.025118864315095794,BB
10,1014.966666667,0.0,2015,0,0.025118864315095794,BB
11,1016.4,0.0,2015,0,0.025118864315095794,BB
12,1024.266666667,0.0,2015,0,0.025118864315095794,BB
1,1016.6,0.0,2016,0,0.025118864315095794,BB
2,1013.6,0.0,2016,0,0.025118864315095794,BB
3,1022.266666667,0.0,2016,0,0.025118864315095794,BB
4,1027.766666667,0.0,2016,0,0.025118864315095794,BB
5,1025.733333333,0.0,2016,0,0.025118864315095794,BB
6,1025.8,0.0,2016,0,0.025118864315095794,BB
7,1027.6,0.0,2016,0,0.025118864315095794,BB
8,1026.733333333,0.0,2016,0,0.025118864315095794,BB
9,1027.066666667,0.0,2016,0,0.025118864315095794,BB
10,1030.066666667,0.0,2016,0,0.025118864315095794,BB
11,1024.6,0.0,2016,0,0.025118864315095794,BB
12,1025.366666667,0.0,2016,0,0.025118864315095794,BB
1,1020.966666667,0.0,2017,0,0.025118864315095794,BB
2,1018.5,0.0,2017,0,0.025118864315095794,BB
3,1015.233333333,0.0,2017,0,0.025118864315095794,BB
4,1011.466666667,0.0,2017,0,0.025118864315095794,BB
5,1004.466666667,0.0,2017,0,0.025118864315095794,BB
6,1007.8,0.0,2017,0,0.025118864315095794,BB
7,1005.633333333,0.0,2017,0,0.025118864315095794,BB
8,1003.3,0.0,2017,0,0.025118864315095794,BB
9,1010.566666667,0.0,2017,0,0.025118864315095794,BB
10,1011.3,0.0,2017,0,0.025118864315095794,BB
11,1015.5,0.0,2017,0,0.025118864315095794,BB
12,1016.7,0.0,2017,0,0.025118864315095794,BB
1,981.3333333333,0.001630434782609,2010,0,0.025118864315095794,AA
2,986.3666666667,0.001250380183164,2010,0,0.025118864315095794,AA
